dropped_cr,kept_crs,rss,x,y,method,r,n,abs_r,is_best_abs_r_for_dropout
2281,2283 2284 2286 2290,2.0,pfss_equator_abs_mean,bmag_mean,spearman,0.26507113576079094,144,0.26507113576079094,False
2281,2283 2284 2286 2290,2.5,pfss_equator_abs_mean,bmag_mean,spearman,0.31139779760469416,144,0.31139779760469416,True
2281,2283 2284 2286 2290,3.0,pfss_equator_abs_mean,bmag_mean,spearman,0.26992605096053374,144,0.26992605096053374,False
2283,2281 2284 2286 2290,2.0,pfss_equator_abs_mean,bmag_mean,spearman,0.2652422084663027,144,0.2652422084663027,False
2283,2281 2284 2286 2290,2.5,pfss_equator_abs_mean,bmag_mean,spearman,0.3079779639680479,144,0.3079779639680479,True
2283,2281 2284 2286 2290,3.0,pfss_equator_abs_mean,bmag_mean,spearman,0.27939502390801,144,0.27939502390801,False
2284,2281 2283 2286 2290,2.0,pfss_equator_abs_mean,bmag_mean,spearman,0.31074904624749056,144,0.31074904624749056,False
2284,2281 2283 2286 2290,2.5,pfss_equator_abs_mean,bmag_mean,spearman,0.3135080716062104,144,0.3135080716062104,True
2284,2281 2283 2286 2290,3.0,pfss_equator_abs_mean,bmag_mean,spearman,0.251493299868807,144,0.251493299868807,False
2286,2281 2283 2284 2290,2.0,pfss_equator_abs_mean,bmag_mean,spearman,0.23059061830915337,144,0.23059061830915337,False
2286,2281 2283 2284 2290,2.5,pfss_equator_abs_mean,bmag_mean,spearman,0.2525683752999178,144,0.2525683752999178,True
2286,2281 2283 2284 2290,3.0,pfss_equator_abs_mean,bmag_mean,spearman,0.23497933745223004,144,0.23497933745223004,False
2290,2281 2283 2284 2286,2.0,pfss_equator_abs_mean,bmag_mean,spearman,0.3326162814649632,144,0.3326162814649632,True
2290,2281 2283 2284 2286,2.5,pfss_equator_abs_mean,bmag_mean,spearman,0.3091715991195989,144,0.3091715991195989,False
2290,2281 2283 2284 2286,3.0,pfss_equator_abs_mean,bmag_mean,spearman,0.22906139886415272,144,0.22906139886415272,False
