pfss_proxy,omni_var,method,phase_r,ballistic_r,best_fixed_r,best_fixed_shift_deg,null_p,null_percentile,null_abs_p95,abs_ballistic_r,ballistic_minus_phase_abs,ballistic_minus_best_fixed_abs
pfss_equator_abs_mean,bmag_mean,spearman,0.0475166410650281,0.2761800944008303,0.2197699542564329,55.0,0.0029985007496251,99.75,0.1944591330296116,0.2761800944008303,0.2286634533358022,0.05641014014439741
pfss_equator_abs_mean,bmag_mean,pearson,0.0563455731335991,0.2383208139679086,0.1277155070226481,60.0,0.0069965017491254,99.35,0.1686482095763581,0.2383208139679086,0.1819752408343095,0.1106053069452605
pfss_midlat_abs_mean,bmag_mean,pearson,0.052331489177142,0.2236147372298038,0.1404717522257278,70.0,0.009495252373813,99.1,0.1715666286640322,0.2236147372298038,0.1712832480526618,0.08314298500407599
pfss_midlat_abs_mean,bmag_mean,spearman,0.0319246478286238,0.2495918675339732,0.2055479379059044,55.0,0.015992003998001,98.45,0.2014513383347065,0.2495918675339732,0.21766721970534939,0.0440439296280688
pfss_global_abs_mean,bmag_mean,pearson,0.0268616717767692,0.1905532203623366,0.1897653329982429,80.0,0.0309845077461269,96.95,0.1766216706280553,0.1905532203623366,0.1636915485855674,0.0007878873640936868
pfss_global_abs_mean,bmag_mean,spearman,0.020062158396742,0.2102850299797233,0.2023982186022696,90.0,0.0369815092453773,96.35,0.1982389615971395,0.2102850299797233,0.1902228715829813,0.0078868113774537
pfss_global_abs_mean,ma_mean,spearman,-0.0197323140308886,-0.1891254503766786,-0.1972421676847783,80.0,0.0394802598700649,96.1,0.1798744914608275,0.1891254503766786,0.16939313634579,-0.008116717308099708
pfss_equator_abs_mean,pdyn_mean,spearman,-0.0189606925540909,0.2268931126423833,0.2106562354874432,50.0,0.041479260369815,95.9,0.2162418457714335,0.2268931126423833,0.20793242008829238,0.0162368771549401
pfss_equator_abs_mean,ma_mean,spearman,-0.0502566117719906,-0.1651453603166488,-0.1095993624574367,65.0,0.0419790104947526,95.85,0.1569215510406494,0.1651453603166488,0.1148887485446582,0.055545997859212104
pfss_equator_abs_mean,density_mean,spearman,-0.0251955846104383,0.2229221449103226,0.2374807987711213,40.0,0.0504747626186906,95.0,0.2224732529058287,0.2229221449103226,0.1977265602998843,-0.014558653860798687
pfss_equator_abs_mean,pdyn_mean,pearson,0.0409615912711875,0.158078862142436,0.2006292110993461,30.0,0.0619690154922538,93.85,0.165871381527001,0.158078862142436,0.11711727087124849,-0.042550348956910095
pfss_midlat_abs_mean,ma_mean,spearman,-0.0315400278641088,-0.1573687287821692,-0.1230432997657514,65.0,0.0769615192403798,92.35,0.1779683534810252,0.1573687287821692,0.12582870091806042,0.0343254290164178
pfss_equator_abs_mean,density_mean,pearson,-0.0229482457043922,0.1868140258926877,0.2490162833862435,40.0,0.0824587706146926,91.8,0.2059263338112087,0.1868140258926877,0.1638657801882955,-0.06220225749355579
pfss_midlat_abs_mean,density_mean,spearman,-0.0097190964407768,0.2146544994811293,0.2138379833053501,40.0,0.0839580209895052,91.65,0.2393745389091777,0.2146544994811293,0.20493540304035252,0.0008165161757792139
pfss_midlat_abs_mean,density_mean,pearson,-0.0162228561871708,0.180700601267501,0.2336675302039918,40.0,0.0899550224887556,91.05,0.2091063932848589,0.180700601267501,0.1644777450803302,-0.0529669289364908
pfss_midlat_abs_mean,pdyn_mean,pearson,0.0385980115932858,0.1360282547759635,0.1709232366426399,30.0,0.0904547726136931,91.0,0.1709987922420546,0.1360282547759635,0.0974302431826777,-0.03489498186667639
pfss_global_abs_mean,ma_mean,pearson,-0.0073821003060946,-0.147545247613123,-0.1822622074602996,80.0,0.1009495252373813,89.95,0.1697440421500969,0.147545247613123,0.1401631473070284,-0.034716959847176626
pfss_midlat_abs_mean,pdyn_mean,spearman,-0.0038247657152383,0.1975939094685478,0.1792495742983364,50.0,0.1019490254872563,89.85,0.2320325954859782,0.1975939094685478,0.1937691437533095,0.01834433517021139
pfss_global_abs_mean,density_mean,spearman,0.0049786256087831,0.1555001821404409,0.1530887005240406,75.0,0.224887556221889,77.55,0.2374282994205179,0.1555001821404409,0.1505215565316578,0.002411481616400285
pfss_midlat_abs_mean,ma_mean,pearson,0.004172684350687,-0.1069199389628896,0.1314883716167211,30.0,0.2338830584707646,76.65,0.1685720010396143,0.1069199389628896,0.10274725461220259,-0.024568432653831518
pfss_global_abs_mean,density_mean,pearson,-0.017919746515743,0.1374189717418519,0.1868056911444051,50.0,0.2378810594702648,76.25,0.2182214624161404,0.1374189717418519,0.11949922522610888,-0.04938671940255321
pfss_global_abs_mean,speed_mean,spearman,0.035332674239414,-0.1286451069394873,-0.2316311545064619,35.0,0.2438780609695152,75.65,0.2125735755996955,0.1286451069394873,0.0933124327000733,-0.1029860475669746
pfss_equator_abs_mean,ma_mean,pearson,-0.0011793100983197,-0.1033704522958051,0.1362836122611586,30.0,0.2478760619690155,75.25,0.1671965382390946,0.1033704522958051,0.1021911421974854,-0.03291315996535349
pfss_equator_abs_mean,speed_mean,pearson,0.0356862112101082,0.0847111653461764,-0.0678872296075557,75.0,0.3543228385807096,64.6,0.1859962780248187,0.0847111653461764,0.0490249541360682,0.016823935738620704
pfss_global_abs_mean,pdyn_mean,spearman,0.0093797258838519,0.1087497818906483,0.0998116351517785,95.0,0.3558220889555222,64.45,0.2275568997554112,0.1087497818906483,0.0993700560067964,0.008938146738869793
pfss_global_abs_mean,pdyn_mean,pearson,0.0025906141657953,0.0601929331263127,0.0775569338478119,30.0,0.4582708645677161,54.2,0.1520252166962007,0.0601929331263127,0.0576023189605174,-0.017364000721499198
pfss_midlat_abs_mean,speed_mean,spearman,0.035486879595103,-0.0657665147910496,-0.2206940610398072,30.0,0.5252373813093453,47.5,0.1917018600989489,0.0657665147910496,0.0302796351959466,-0.1549275462487576
pfss_midlat_abs_mean,speed_mean,pearson,0.0216269006244178,0.0523850720204474,0.0910620456090324,120.0,0.5402298850574713,46.0,0.1759180667907129,0.0523850720204474,0.0307581713960296,-0.038676973588585004
pfss_global_abs_mean,speed_mean,pearson,-0.0276203725769057,-0.0335238692611167,-0.1328688858202431,60.0,0.6966516741629185,30.35,0.1694180917821755,0.0335238692611167,0.0059034966842110015,-0.09934501655912639
pfss_equator_abs_mean,speed_mean,spearman,0.0257778960614328,-0.0133577901667391,-0.19328737908354,25.0,0.8905547226386806,10.95,0.1947372706713055,0.0133577901667391,-0.012420105894693702,-0.1799295889168009
