rss,cr,period_days,speed_peak_phase_deg,speed_peak_km_s,nearest_pfss_peak_phase_deg,nearest_pfss_peak_value,signed_phase_error_deg,abs_phase_error_deg,signed_timing_error_days,abs_timing_error_days,speed_threshold_km_s,pfss_threshold,speed_peak_count,pfss_peak_count
2.0,2281,27.0,260.0,478.5625,210.0,0.2425818905233074,50.0,50.0,3.75,3.75,450.0,0.20794984487337945,1,3
2.0,2283,27.0,90.0,468.6666666666667,40.0,0.3663211728293224,50.0,50.0,3.75,3.75,450.0,0.23272875609191918,1,3
2.0,2284,27.0,50.0,901.4117647058824,50.0,0.4831709283417672,0.0,0.0,0.0,0.0,465.3267857142857,0.2493683172202235,2,3
2.0,2284,27.0,330.0,517.6315789473684,50.0,0.4831709283417672,-80.0,80.0,-6.0,6.0,465.3267857142857,0.2493683172202235,2,3
2.0,2286,28.0,300.0,508.4,310.0,0.387760601123207,-10.0,10.0,-0.7777777777777777,0.7777777777777777,450.0,0.32953572616974586,2,4
2.0,2286,28.0,330.0,476.09090909090907,310.0,0.387760601123207,20.0,20.0,1.5555555555555554,1.5555555555555554,450.0,0.32953572616974586,2,4
2.0,2287,27.0,160.0,495.5833333333333,140.0,0.2975558530585526,20.0,20.0,1.5,1.5,450.0,0.2966037059204328,3,4
2.0,2287,27.0,70.0,468.625,60.0,0.3486885945337469,10.0,10.0,0.75,0.75,450.0,0.2966037059204328,3,4
2.0,2287,27.0,350.0,456.88,310.0,0.3907217940442721,40.0,40.0,3.0,3.0,450.0,0.2966037059204328,3,4
2.0,2290,28.0,110.0,529.4615384615385,70.0,0.409119162938575,40.0,40.0,3.1111111111111107,3.1111111111111107,450.0,0.37448167368230245,2,3
2.0,2290,28.0,140.0,514.5333333333333,160.0,0.3986422579578776,-20.0,20.0,-1.5555555555555554,1.5555555555555554,450.0,0.37448167368230245,2,3
2.5,2281,27.0,260.0,478.8,210.0,0.1089956228431257,50.0,50.0,3.75,3.75,450.0,0.09642847548687675,1,2
2.5,2283,27.0,90.0,468.6666666666667,40.0,0.1395567543435149,50.0,50.0,3.75,3.75,450.0,0.07855873633532318,1,3
2.5,2284,27.0,50.0,901.4117647058824,50.0,0.1799482391312159,0.0,0.0,0.0,0.0,465.6303571428571,0.0885851270563706,2,3
2.5,2284,27.0,330.0,519.0,50.0,0.1799482391312159,-80.0,80.0,-6.0,6.0,465.6303571428571,0.0885851270563706,2,3
2.5,2286,28.0,300.0,508.4,310.0,0.1310951368257795,-10.0,10.0,-0.7777777777777777,0.7777777777777777,450.0,0.12328667152347081,2,3
2.5,2286,28.0,330.0,476.09090909090907,310.0,0.1310951368257795,20.0,20.0,1.5555555555555554,1.5555555555555554,450.0,0.12328667152347081,2,3
2.5,2287,27.0,160.0,493.61538461538464,250.0,0.2363523043425646,-90.0,90.0,-6.75,6.75,450.0,0.121860635816678,3,2
2.5,2287,27.0,70.0,468.625,70.0,0.1421570538189565,0.0,0.0,0.0,0.0,450.0,0.121860635816678,3,2
2.5,2287,27.0,350.0,456.88,70.0,0.1421570538189565,-80.0,80.0,-6.0,6.0,450.0,0.121860635816678,3,2
2.5,2290,28.0,110.0,529.4615384615385,70.0,0.1855526555097471,40.0,40.0,3.1111111111111107,3.1111111111111107,450.0,0.1674459671892954,2,2
2.5,2290,28.0,140.0,514.5333333333333,70.0,0.1855526555097471,70.0,70.0,5.444444444444445,5.444444444444445,450.0,0.1674459671892954,2,2
3.0,2281,27.0,260.0,478.8,220.0,0.0593573254026469,40.0,40.0,3.0,3.0,450.0,0.0542055588496068,1,2
3.0,2283,27.0,90.0,463.1428571428572,40.0,0.0662957660758039,50.0,50.0,3.75,3.75,450.0,0.041733251106485,1,2
3.0,2284,27.0,50.0,901.4117647058824,50.0,0.0833761931445946,0.0,0.0,0.0,0.0,465.6303571428571,0.0364172848496258,2,2
3.0,2284,27.0,330.0,519.0,50.0,0.0833761931445946,-80.0,80.0,-6.0,6.0,465.6303571428571,0.0364172848496258,2,2
3.0,2286,28.0,300.0,508.4,310.0,0.0544577643067938,-10.0,10.0,-0.7777777777777777,0.7777777777777777,450.0,0.054189096592581504,2,3
3.0,2286,28.0,330.0,474.5833333333333,310.0,0.0544577643067938,20.0,20.0,1.5555555555555554,1.5555555555555554,450.0,0.054189096592581504,2,3
3.0,2287,27.0,160.0,493.61538461538464,240.0,0.112607002362916,-80.0,80.0,-6.0,6.0,450.0,0.06556961410353696,3,2
3.0,2287,27.0,70.0,476.1428571428572,70.0,0.0733001628952434,0.0,0.0,0.0,0.0,450.0,0.06556961410353696,3,2
3.0,2287,27.0,350.0,456.88,70.0,0.0733001628952434,-80.0,80.0,-6.0,6.0,450.0,0.06556961410353696,3,2
3.0,2290,28.0,110.0,529.4615384615385,70.0,0.0998149596372719,40.0,40.0,3.1111111111111107,3.1111111111111107,450.0,0.09316519419519786,2,2
3.0,2290,28.0,140.0,513.0,70.0,0.0998149596372719,70.0,70.0,5.444444444444445,5.444444444444445,450.0,0.09316519419519786,2,2
