rss,cr,equator_abs_mean,equator_abs_std,equator_abs_max,equator_abs_peak_lon_deg,equator_strong_patch_count_p75,equator_sector_boundary_count,global_abs_mean,global_abs_std,global_abs_max,global_abs_peak_lon_deg,global_strong_patch_count_p75,global_sector_boundary_count
2.0,2281,0.15862883793380936,0.12794381194269935,0.5218259713970996,32.0,3,4,0.14196736959755987,0.06926489560517107,0.3282211238097126,32.0,2,4
2.0,2283,0.1562113276050206,0.10430288488309875,0.3761890031219814,40.0,3,6,0.14206231373012662,0.06982774431124786,0.263314090222123,189.0,3,6
2.0,2284,0.18440805917085248,0.12679968995917631,0.5009331634442822,51.0,3,8,0.15882305781160852,0.061957766179776205,0.280728670569717,51.0,3,8
2.0,2286,0.22579793983738625,0.12797728073940196,0.4939269682683293,251.0,4,8,0.1864780964575895,0.06965329065780242,0.3153827966927132,250.0,4,6
2.0,2287,0.23329822516551135,0.1493127208323307,0.6346684628529472,252.0,4,8,0.20970474838521003,0.08125582490378284,0.4092981097696357,252.0,3,4
2.0,2290,0.2805736766505358,0.1951588043398733,0.7154923228645154,252.0,3,6,0.1996170759380238,0.09299911911591031,0.3932081731875226,251.0,3,4
2.5,2281,0.0701238663206981,0.05247376800767049,0.2065851488923896,31.0,2,4,0.0626696615367698,0.03166157233927639,0.1386790769764431,30.0,2,4
2.5,2283,0.0568068247316457,0.04141744360863865,0.1432234838443891,40.0,3,6,0.057548422000976686,0.028765268587735048,0.1044529113838226,232.0,3,4
2.5,2284,0.06284818530191168,0.04427811441925883,0.1825534448310542,53.0,3,6,0.06034257102580981,0.02110488245481498,0.1051934072985852,53.0,3,6
2.5,2286,0.07933385797025162,0.04655889279055007,0.1780341788180084,250.0,4,4,0.0698138312930978,0.02600287033566666,0.1172930137786352,250.0,3,4
2.5,2287,0.08755714731555105,0.05773659699512814,0.2419727341046539,251.0,3,4,0.07800133322432747,0.035348533366302025,0.1584501597436647,251.0,3,4
2.5,2290,0.12647431080539837,0.07689418907738184,0.3001208222875507,252.0,2,2,0.09147724440027673,0.04268299334089952,0.1791469385065151,252.0,2,2
3.0,2281,0.037571290073481214,0.02733009444615061,0.1021752251369681,30.0,2,4,0.03364977420045012,0.01716562748072175,0.0714360227419865,29.0,2,4
3.0,2283,0.02698756775822516,0.020739285382687597,0.0680985827830194,39.0,2,4,0.02932813250967981,0.014162355450912755,0.0518837698022284,234.0,3,4
3.0,2284,0.027998890497976405,0.02119056674912466,0.0840155077449062,54.0,2,6,0.029076167100835857,0.009475944466979212,0.0502836306864882,55.0,3,6
3.0,2286,0.038514738667382434,0.02095644887340377,0.0814945837464474,248.0,4,4,0.03418151422181262,0.011637524422507822,0.0547273602624412,248.0,3,4
3.0,2287,0.04418738239228525,0.029216040477290435,0.115589396853819,250.0,2,4,0.03801754012638378,0.019548804880834846,0.0787660869753748,249.0,3,4
3.0,2290,0.06949708392271546,0.03775348518197448,0.1522377450925869,253.0,2,2,0.05129665372000907,0.02338899713769788,0.0962928379787746,253.0,2,2
