x,y,method,obs_r,obs_n,null_runs,null_abs_mean,null_abs_p95,p_two_sided_abs,abs_percentile
pfss_equator_abs_mean,speed_mean,pearson,0.0880595834789278,214,2000,0.07343222505710201,0.18153149390245527,0.33233383308345826,66.8
pfss_equator_abs_mean,speed_mean,spearman,-0.0278341290883284,214,2000,0.07553497939363793,0.18502162267898004,0.7691154422788605,23.1
pfss_equator_abs_mean,bmag_mean,pearson,0.2565772464994227,214,2000,0.07238189389359388,0.1751905151663154,0.006496751624187906,99.4
pfss_equator_abs_mean,bmag_mean,spearman,0.2853122209538846,214,2000,0.07976546334552975,0.1920730925221773,0.0024987506246876563,99.8
pfss_equator_abs_mean,density_mean,pearson,0.2024693192344349,214,2000,0.08672253954838627,0.20685225280736314,0.059470264867566215,94.1
pfss_equator_abs_mean,density_mean,spearman,0.2691822259038198,214,2000,0.09722791194441098,0.2368306757657435,0.021989005497251374,97.85
pfss_equator_abs_mean,pdyn_mean,pearson,0.1712004358703993,214,2000,0.07136462597062615,0.1814284111034144,0.06846576711644178,93.2
pfss_equator_abs_mean,pdyn_mean,spearman,0.2699676432863646,214,2000,0.09667693979569658,0.23141950157804025,0.01899050474762619,98.15
pfss_equator_abs_mean,ma_mean,pearson,-0.0878624860075996,214,2000,0.07012105488017396,0.17067477451247393,0.3213393303348326,67.9
pfss_equator_abs_mean,ma_mean,spearman,-0.1376204193209682,214,2000,0.06798050331985392,0.16176520107386333,0.1054472763618191,89.5
pfss_midlat_abs_mean,speed_mean,pearson,0.044331216352318,214,2000,0.06910675499335897,0.1735546734981454,0.5942028985507246,40.6
pfss_midlat_abs_mean,speed_mean,spearman,-0.0887694618651412,214,2000,0.07490894199636744,0.17775002303542406,0.3568215892053973,64.35
pfss_midlat_abs_mean,bmag_mean,pearson,0.2331989788996303,214,2000,0.0766101366701742,0.1854725133428995,0.01249375312343828,98.8
pfss_midlat_abs_mean,bmag_mean,spearman,0.2700350719944878,214,2000,0.0852945869987235,0.21008660397973378,0.0079960019990005,99.25
pfss_midlat_abs_mean,density_mean,pearson,0.1890445248345269,214,2000,0.08750443083779368,0.21054204675320312,0.07946026986506746,92.1
pfss_midlat_abs_mean,density_mean,spearman,0.2641680051697412,214,2000,0.10400601339146398,0.2501345237668976,0.03548225887056472,96.5
pfss_midlat_abs_mean,pdyn_mean,pearson,0.1419357059994652,214,2000,0.0711882827905727,0.18263805570722097,0.12193903048475763,87.85
pfss_midlat_abs_mean,pdyn_mean,spearman,0.24386309161205,214,2000,0.10513709144674611,0.24359597270648448,0.04997501249375312,95.05
pfss_midlat_abs_mean,ma_mean,pearson,-0.093513986887302,214,2000,0.06987837283451043,0.16733728397622036,0.2938530734632684,70.65
pfss_midlat_abs_mean,ma_mean,spearman,-0.1390432575894401,214,2000,0.07310407474186567,0.1772844237780519,0.12843578210894552,87.2
pfss_global_abs_mean,speed_mean,pearson,-0.0445749841056565,214,2000,0.07161196033865377,0.17224802506523823,0.6381809095452274,36.2
pfss_global_abs_mean,speed_mean,spearman,-0.1428728423621516,214,2000,0.0799781612013841,0.19388246703334447,0.1634182908545727,83.7
pfss_global_abs_mean,bmag_mean,pearson,0.1893141515549243,214,2000,0.07889532342158137,0.18483199003885717,0.044977511244377814,95.55
pfss_global_abs_mean,bmag_mean,spearman,0.234279208830672,214,2000,0.08658277581505217,0.2082815151273137,0.026486756621689155,97.4
pfss_global_abs_mean,density_mean,pearson,0.1381224361009655,214,2000,0.09003553574760763,0.22665285545414152,0.22638680659670166,77.4
pfss_global_abs_mean,density_mean,spearman,0.2029198193043919,214,2000,0.10789308261005695,0.2561370174080517,0.12493753123438281,87.55
pfss_global_abs_mean,pdyn_mean,pearson,0.0595532417420291,214,2000,0.07319036147139303,0.17805570653959274,0.5167416291854073,48.35
pfss_global_abs_mean,pdyn_mean,spearman,0.1571752619608107,214,2000,0.10288191054608459,0.24127100354791206,0.22638680659670166,77.4
pfss_global_abs_mean,ma_mean,pearson,-0.12942481847036,214,2000,0.07003098238134742,0.16956517378803604,0.14492753623188406,85.55
pfss_global_abs_mean,ma_mean,spearman,-0.170033458739833,214,2000,0.0746595467611144,0.17895332000697947,0.06596701649175413,93.45
